d_pipe_mean,d_pipe_sigma,d_pipe_low,d_pipe_high,d_pipe_dist_type,t_pipe_mean,t_pipe_sigma,t_pipe_low,t_pipe_high,t_pipe_dist_type,soil_type,soil_density,sigma_y_mean,sigma_y_sigma,sigma_y_low,sigma_y_high,sigma_y_dist_type,n_param_mean,n_param_sigma,n_param_low,n_param_high,n_param_dist_type,r_param_mean,r_param_sigma,r_param_low,r_param_high,r_param_dist_type,alpha_backfill_mean,alpha_backfill_sigma,alpha_backfill_low,alpha_backfill_high,alpha_backfill_dist_type,s_u_backfill_mean,s_u_backfill_sigma,s_u_backfill_low,s_u_backfill_high,s_u_backfill_dist_type,gamma_backfill_mean,gamma_backfill_sigma,gamma_backfill_low,gamma_backfill_high,gamma_backfill_dist_type,h_pipe_mean,h_pipe_sigma,h_pipe_low,h_pipe_high,h_pipe_dist_type,phi_backfill_mean,phi_backfill_sigma,phi_backfill_low,phi_backfill_high,phi_backfill_dist_type,delta_backfill_mean,delta_backfill_sigma,delta_backfill_low,delta_backfill_high,delta_backfill_dist_type,op_press_mean,op_press_sigma,op_press_low,op_press_high,op_press_dist_type,l_anchor_mean,l_anchor_sigma,l_anchor_low,l_anchor_high,l_anchor_dist_type,beta_crossing_mean,beta_crossing_sigma,beta_crossing_low,beta_crossing_high,beta_crossing_dist_type,psi_dip_mean,psi_dip_sigma,psi_dip_low,psi_dip_high,psi_dip_dist_type,def_length_mean,def_length_sigma,def_length_low,def_length_high,def_length_dist_type,vs30_mean,vs30_sigma,vs30_low,vs30_high,vs30_dist_type,gw_depth_mean,gw_depth_sigma,gw_depth_low,gw_depth_high,gw_depth_dist_type,dist_river_mean,dist_river_sigma,dist_river_low,dist_river_high,dist_river_dist_type,dist_coast_mean,dist_coast_sigma,dist_coast_low,dist_coast_high,dist_coast_dist_type,dist_water_mean,dist_water_sigma,dist_water_low,dist_water_high,dist_water_dist_type,precip_mean,precip_sigma,precip_low,precip_high,precip_dist_type,steel_grade,level_to_run,GeologicUnit_Witter2006,GeologicUnit_BedrossianEtal2012
1257.0,0.0,-inf,inf,normal,6.5,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,5.431098477781855,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-1.442435,0.14916638004195087,-inf,48.557564,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
1257.0,0.0,-inf,inf,normal,6.5,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,5.767695800399854,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
1257.0,0.0,-inf,inf,normal,6.5,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,6.019079714140955,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
1257.0,0.0,-inf,inf,normal,6.5,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,6.019079714140955,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
1257.0,0.0,-inf,inf,normal,6.5,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,5.767695800399854,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
1257.0,0.0,-inf,inf,normal,6.5,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,5.431098477781855,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-0.5327257,0.14916638004195087,-inf,49.467274,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
1257.0,0.0,-inf,inf,normal,6.5,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,4.920710586568268,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-0.5327257,0.14916638004195087,-inf,49.467274,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
1257.0,0.0,-inf,inf,normal,6.5,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,3.822098297900159,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-0.5327257,0.14916638004195087,-inf,49.467274,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,3.822098297900159,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.3390136,0.14916638004195087,-inf,53.339012,lognormal,-1.442435,0.14916638004195087,-inf,48.557564,lognormal,6.5305862,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,4.919980925828125,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-1.442435,0.14916638004195087,-inf,48.557564,lognormal,6.5305862,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,5.43066055353575,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-1.442435,0.14916638004195087,-inf,48.557564,lognormal,6.5305862,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,5.7670702138921195,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.5305862,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,6.018349875889364,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.5305862,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,6.018349875889364,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.5305862,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,5.7670702138921195,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.5305862,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,5.43066055353575,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-0.5327257,0.14916638004195087,-inf,49.467274,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,4.919980925828125,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-0.5327257,0.14916638004195087,-inf,49.467274,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
560.0,0.0,-inf,inf,normal,7.1,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,3.822098297900159,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-0.5327257,0.14916638004195087,-inf,49.467274,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-0.5450992,0.14916638004195087,-inf,49.454903,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
610.0,0.0,-inf,inf,normal,9.5,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,3.711130063048756,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.3390136,0.14916638004195087,-inf,53.339012,lognormal,-1.442435,0.14916638004195087,-inf,48.557564,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
610.0,0.0,-inf,inf,normal,9.5,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,4.808927023502111,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.3390136,0.14916638004195087,-inf,53.339012,lognormal,-1.442435,0.14916638004195087,-inf,48.557564,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
610.0,0.0,-inf,inf,normal,9.5,0.0,-inf,inf,normal,clay,soft,359000.0,53850.0,240000.0,600000.0,normal,10.0,3.0,16.0,,normal,8.5,1.5,11.5,,normal,0.75,0.14,0.5,1.0,normal,3.6888794541139363,0.4294213816262289,2.995732273553991,4.787491742782046,lognormal,2.9444389791664403,0.08981854528859166,2.772588722239781,3.068052935133617,lognormal,0.1823215567939546,0.14916638004195087,-0.5108256237659907,1.791759469228055,lognormal,3.6375861597263857,0.14916638004195087,3.4011973816621555,3.8066624897703196,lognormal,0.75,0.14,0.5,1.0,normal,9.011889433252344,0.0997513451195927,0.0,9.532423871145296,lognormal,3.711130063048756,0.38525317015992666,0.0,inf,lognormal,90,20.0,90.0,360.0,normal,45,10.0,15.0,90.0,normal,4.605170185988092,0.7702771223902047,2.302585092994046,5.991464547107982,lognormal,5.863347,0.293560379208524,-inf,inf,lognormal,3.7311687,0.47238072707743883,-inf,inf,lognormal,-1.9586571,0.14916638004195087,-inf,48.041344,lognormal,3.306032,0.14916638004195087,-inf,53.30603,lognormal,-1.442435,0.14916638004195087,-inf,48.557564,lognormal,6.4928455,0.38525317015992666,-inf,7.824046010856292,lognormal,"""NA""",1,,Qyf
